ID_Pedidos,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,Festival,duracion(min),ID_Clientes,ID_Comercios,ID_Repartidores
0x3231 ,2022-04-05,20:35:00,20:40:00,Stormy,Jam ,motorcycle ,No ,5,867,178,36
0x8bc0 ,2022-03-12,23:20:00,23:30:00,Cloudy,Low ,scooter ,No ,10,961,172,70
0x2288 ,2022-03-16,21:20:00,21:35:00,Windy,Jam ,motorcycle ,No ,15,149,44,77
0x3c5e ,2022-04-02,23:35:00,23:45:00,Windy,Low ,electric_scooter ,No ,10,359,61,62
0x3e60 ,2022-04-01,22:35:00,22:50:00,Sandstorms,Low ,motorcycle ,No ,15,337,69,13
0xbff ,2022-03-05,22:35:00,22:40:00,Stormy,Low ,motorcycle ,No ,5,756,155,72
0xd936 ,2022-02-11,23:25:00,23:35:00,Sandstorms,Low ,motorcycle ,No ,10,302,103,47
0xd681 ,2022-02-11,13:35:00,13:40:00,Cloudy,High ,scooter ,No ,5,180,177,3
0x2876 ,2022-03-08,21:35:00,21:45:00,Stormy,Jam ,scooter ,No ,10,816,19,18
0x30c8 ,2022-04-02,22:35:00,22:45:00,Cloudy,Low ,scooter ,No ,10,273,180,21
0xb843 ,2022-03-08,18:55:00,19:10:00,Sunny,Medium ,motorcycle ,No ,15,954,174,24
0xb3a0 ,2022-04-03,14:15:00,14:25:00,Windy,High ,scooter ,No ,10,667,8,92
0x6531 ,2022-03-30,11:00:00,11:10:00,Sandstorms,Low ,scooter ,No ,10,7,137,15
0x4bda ,2022-04-01,09:45:00,09:55:00,Sunny,Low ,scooter ,No ,10,819,121,61
0x9d26 ,2022-03-28,08:40:00,08:55:00,Stormy,Low ,scooter ,No ,15,139,38,16
0x9b18 ,2022-03-18,23:00:00,23:10:00,Fog,Low ,motorcycle ,No ,10,3,37,42
0x5d99 ,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,No ,5,181,139,35
0xb796 ,2022-04-04,19:45:00,19:50:00,Sandstorms,Jam ,motorcycle ,No ,5,36,139,32
0x85b4 ,2022-03-08,19:10:00,19:25:00,Stormy,Jam ,scooter ,No ,15,204,124,85
0xc644 ,2022-02-13,10:55:00,11:00:00,Fog,Low ,scooter ,No ,5,861,167,4
0x6999 ,2022-03-24,21:40:00,21:45:00,Sunny,Jam ,electric_scooter ,No ,5,168,176,42
0x63b6 ,2022-03-19,19:00:00,19:15:00,Windy,Medium ,scooter ,No ,15,699,125,97
0xa30b ,2022-03-09,16:45:00,16:55:00,Cloudy,Medium ,motorcycle ,No ,10,799,82,35
0x3556 ,2022-03-19,11:30:00,11:40:00,Sunny,High ,scooter ,No ,10,299,21,79
0x5554 ,2022-04-03,15:10:00,15:15:00,Fog,Medium ,motorcycle ,No ,5,660,148,27
0x25fd ,2022-03-25,22:45:00,22:55:00,Stormy,Low ,scooter ,No ,10,278,29,47
0xc1ff ,2022-02-13,22:10:00,22:25:00,Cloudy,Low ,motorcycle ,No ,15,749,172,8
0x7ac8 ,2022-04-04,20:45:00,20:55:00,Sandstorms,Jam ,motorcycle ,No ,10,324,160,75
0x3da1 ,2022-03-26,22:50:00,23:05:00,Cloudy,Low ,motorcycle ,No ,15,174,173,62
0x272d ,2022-03-10,17:55:00,18:00:00,Sunny,Medium ,motorcycle ,No ,5,6,34,82
0xddc5 ,2022-02-14,22:45:00,23:00:00,Sunny,Low ,motorcycle ,No ,15,658,181,28
0xb002 ,2022-03-26,09:25:00,09:40:00,Windy,Low ,scooter ,No ,15,182,69,21
0x395b ,2022-03-13,20:15:00,20:20:00,Cloudy,Jam ,motorcycle ,No ,5,24,79,88
0x8aa2 ,2022-03-29,22:25:00,22:35:00,Sandstorms,Low ,scooter ,No ,10,842,147,25
0xb55a ,2022-03-30,21:55:00,22:00:00,Sunny,Jam ,scooter ,No ,5,961,150,86
0x73cc ,2022-03-12,22:40:00,22:55:00,Cloudy,Low ,scooter ,No ,15,667,113,97
0xbe80 ,2022-03-31,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,No ,5,778,8,87
0x1609 ,2022-03-17,15:25:00,15:40:00,Fog,Medium ,scooter ,No ,15,526,144,42
0xd255 ,2022-02-15,10:20:00,10:30:00,Sandstorms,Low ,electric_scooter ,No ,10,941,51,2
0xde72 ,2022-02-15,20:55:00,21:00:00,Stormy,Jam ,motorcycle ,No ,5,664,170,86
0x98aa ,2022-03-07,10:40:00,10:50:00,Stormy,Low ,scooter ,No ,10,929,10,40
0x273a ,2022-03-28,15:55:00,16:05:00,Fog,Medium ,scooter ,No ,10,620,61,41
0xa258 ,2022-03-16,20:10:00,20:15:00,Cloudy,Jam ,scooter ,No ,5,101,34,81
0x8b53 ,2022-03-17,12:10:00,12:15:00,Sunny,High ,scooter ,No ,5,978,161,6
0xbbde ,2022-03-15,15:30:00,15:45:00,Fog,Medium ,scooter ,No ,15,671,127,17
0x5ded ,2022-03-25,22:10:00,22:15:00,Sandstorms,Low ,motorcycle ,No ,5,440,31,5
0x1a70 ,2022-03-09,10:35:00,10:45:00,Fog,Low ,motorcycle ,No ,10,770,104,95
0x4b7f ,2022-03-05,23:50:00,00:05:00,Fog,Low ,motorcycle ,No ,15,875,116,45
0xc606 ,2022-02-11,21:10:00,21:25:00,Fog,Jam ,motorcycle ,No ,15,615,171,83
0xb962 ,2022-03-12,20:25:00,20:40:00,Sandstorms,Jam ,motorcycle ,No ,15,223,164,68
0x633c ,2022-03-29,20:50:00,21:00:00,Fog,Jam ,scooter ,No ,10,881,149,53
0x2dc6 ,2022-03-19,12:35:00,12:45:00,Windy,High ,electric_scooter ,No ,10,684,127,8
0x903a ,2022-03-10,21:00:00,21:15:00,Cloudy,Jam ,scooter ,No ,15,306,55,16
0xc444 ,2022-02-16,23:40:00,23:55:00,Windy,Low ,motorcycle ,No ,15,722,113,27
0x1fb7 ,2022-03-27,18:15:00,18:20:00,Cloudy,Medium ,scooter ,No ,5,552,78,42
0x34d7 ,2022-03-27,18:20:00,18:25:00,Stormy,Medium ,motorcycle ,No ,5,167,76,55
0x156b ,2022-03-24,11:45:00,11:50:00,Stormy,High ,motorcycle ,No ,5,190,18,49
0x56ad ,2022-03-09,20:45:00,20:55:00,Stormy,Jam ,motorcycle ,No ,10,875,30,43
0x837c ,2022-03-03,21:55:00,22:10:00,Stormy,Jam ,motorcycle ,No ,15,626,162,46
0xcbc4 ,2022-02-15,12:45:00,12:50:00,Windy,High ,scooter ,No ,5,493,8,95
0xc19e ,2022-02-18,23:30:00,23:45:00,Fog,Low ,motorcycle ,Yes ,15,288,99,83
0x1d60 ,2022-03-01,10:50:00,10:55:00,Fog,Low ,motorcycle ,No ,5,93,113,62
0x95fb ,2022-03-23,21:25:00,21:40:00,Stormy,Jam ,motorcycle ,No ,15,26,158,23
0xc042 ,2022-02-16,23:00:00,23:05:00,Sandstorms,Low ,scooter ,No ,5,117,14,56
0x6d19 ,2022-03-11,08:40:00,08:55:00,Cloudy,Low ,scooter ,No ,15,379,83,22
0x35e6 ,2022-03-14,17:50:00,17:55:00,Sunny,Medium ,electric_scooter ,No ,5,928,105,14
0xb437 ,2022-03-18,20:25:00,20:40:00,Stormy,Jam ,motorcycle ,No ,15,696,32,13
0x97e3 ,2022-04-01,22:20:00,22:25:00,Sunny,Low ,motorcycle ,No ,5,949,147,44
0xa3e0 ,2022-04-04,23:40:00,23:50:00,Sandstorms,Low ,electric_scooter ,No ,10,517,159,72
0x4161 ,2022-03-11,23:25:00,23:30:00,Fog,Low ,motorcycle ,No ,5,470,49,35
0x1236 ,2022-03-13,12:40:00,12:55:00,Cloudy,High ,scooter ,No ,15,759,126,87
0x2558 ,2022-03-04,23:30:00,23:45:00,Windy,Low ,motorcycle ,No ,15,865,100,64
0x3c57 ,2022-03-16,22:50:00,23:00:00,Windy,Low ,motorcycle ,No ,10,940,31,43
0x4863 ,2022-03-01,10:25:00,10:40:00,Stormy,Low ,motorcycle ,No ,15,606,84,69
0x6757 ,2022-03-15,08:45:00,09:00:00,Sandstorms,Low ,motorcycle ,No ,15,699,183,31
0x22ad ,2022-03-04,21:25:00,21:40:00,Sandstorms,Jam ,motorcycle ,No ,15,275,35,7
0x9f99 ,2022-03-18,22:35:00,22:40:00,Cloudy,Low ,scooter ,No ,5,845,35,49
0x6781 ,2022-03-23,20:10:00,20:20:00,Fog,Jam ,scooter ,No ,10,846,4,95
0x1b8d ,2022-03-15,10:55:00,11:10:00,Sandstorms,Low ,scooter ,No ,15,483,186,5
0x1aea ,2022-03-08,20:35:00,20:45:00,Cloudy,Jam ,motorcycle ,No ,10,237,58,92
0x1e42 ,2022-03-10,23:20:00,23:35:00,Sunny,Low ,motorcycle ,No ,15,816,44,43
0xddc8 ,2022-02-11,10:35:00,10:50:00,Cloudy,Low ,scooter ,No ,15,596,14,57
0x24ac ,2022-03-14,23:45:00,23:50:00,Sunny,Low ,motorcycle ,No ,5,285,186,49
0x3f01 ,2022-03-16,19:55:00,20:00:00,Windy,Jam ,motorcycle ,No ,5,985,24,55
0x628c ,2022-03-01,22:15:00,22:25:00,Sandstorms,Low ,scooter ,No ,10,331,149,60
0x6c38 ,2022-03-01,23:10:00,23:15:00,Sunny,Low ,electric_scooter ,No ,5,524,107,90
0x4beb ,2022-03-30,09:15:00,09:30:00,Cloudy,Low ,motorcycle ,No ,15,969,118,56
0x8339 ,2022-03-02,18:25:00,18:35:00,Cloudy,Medium ,motorcycle ,No ,10,167,142,63
0x3ec5 ,2022-03-20,22:10:00,22:20:00,Sandstorms,Low ,motorcycle ,No ,10,501,104,64
0xadb4 ,2022-04-03,20:50:00,21:05:00,Cloudy,Jam ,motorcycle ,No ,15,121,148,90
0x99e7 ,2022-03-17,14:55:00,15:05:00,Sunny,High ,scooter ,No ,10,422,43,90
0xe264 ,2022-02-15,22:20:00,22:35:00,Sandstorms,Low ,scooter ,No ,15,247,94,12
0xbd03 ,2022-03-18,00:00:00,00:15:00,Windy,Low ,scooter ,No ,15,473,109,27
0x9a29 ,2022-03-08,21:10:00,21:20:00,Fog,Jam ,scooter ,No ,10,664,67,94
0xd0e5 ,2022-02-17,23:25:00,23:35:00,Sunny,Low ,motorcycle ,No ,10,207,79,8
0xa480 ,2022-03-31,23:30:00,23:35:00,Sunny,Low ,motorcycle ,No ,5,803,84,68
0xb46c ,2022-03-01,14:20:00,14:35:00,Sunny,High ,scooter ,No ,15,169,180,93
0x7150 ,2022-04-03,10:15:00,10:25:00,Fog,Low ,scooter ,No ,10,262,96,45
0x1e58 ,2022-03-24,21:20:00,21:35:00,Cloudy,Jam ,motorcycle ,No ,15,404,158,83
0x4460 ,2022-03-07,08:50:00,08:55:00,Fog,Low ,motorcycle ,No ,5,535,92,69
0x977d ,2022-03-09,09:00:00,09:05:00,Cloudy,Low ,motorcycle ,No ,5,423,90,91
0x1602 ,2022-03-12,17:45:00,18:00:00,Windy,Medium ,motorcycle ,No ,15,725,115,23
0x894e ,2022-03-24,23:10:00,23:15:00,Fog,Low ,motorcycle ,No ,5,664,96,74
0x5a01 ,2022-03-30,16:35:00,16:50:00,Fog,Medium ,scooter ,No ,15,845,146,48
0x655 ,2022-03-05,08:30:00,08:40:00,Sandstorms,Low ,motorcycle ,No ,10,761,3,99
0x20f6 ,2022-03-18,20:35:00,20:50:00,Fog,Jam ,motorcycle ,Yes ,15,693,129,21
0x3db1 ,2022-03-13,23:25:00,23:40:00,Windy,Low ,motorcycle ,No ,15,487,143,31
0x8ed2 ,2022-03-31,19:55:00,20:05:00,Fog,Jam ,motorcycle ,No ,10,384,61,6
0x64cc ,2022-03-23,21:20:00,21:30:00,Sandstorms,Jam ,motorcycle ,No ,10,763,64,43
0x2ed0 ,2022-03-24,21:45:00,21:50:00,Stormy,Jam ,scooter ,No ,5,966,157,60
0x4008 ,2022-03-12,19:40:00,19:55:00,Sunny,Jam ,electric_scooter ,No ,15,762,11,29
0x7553 ,2022-03-03,14:50:00,15:00:00,Sandstorms,High ,scooter ,No ,10,293,38,22
0x35d8 ,2022-03-09,18:10:00,18:20:00,Fog,Medium ,motorcycle ,No ,10,978,158,64
0x9832 ,2022-03-17,12:20:00,12:30:00,Cloudy,High ,motorcycle ,No ,10,58,38,69
0x4c88 ,2022-03-18,23:40:00,23:50:00,Cloudy,Low ,scooter ,No ,10,70,112,84
0x9693 ,2022-03-19,12:50:00,12:55:00,Windy,High ,motorcycle ,No ,5,593,28,40
0x81a5 ,2022-03-07,23:20:00,23:30:00,Sandstorms,Low ,motorcycle ,No ,10,53,183,21
0xae56 ,2022-03-04,17:50:00,18:00:00,Stormy,Medium ,motorcycle ,No ,10,279,136,99
0x8d18 ,2022-04-03,10:25:00,10:35:00,Windy,Low ,scooter ,No ,10,766,27,38
0x9cba ,2022-03-11,09:10:00,09:25:00,Windy,Low ,scooter ,No ,15,851,108,83
0x596a ,2022-03-20,17:10:00,17:20:00,Sandstorms,Medium ,motorcycle ,No ,10,770,135,61
0x78aa ,2022-03-31,19:15:00,19:30:00,Cloudy,Jam ,motorcycle ,No ,15,400,116,37
0xd7ec ,2022-02-13,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,No ,5,446,172,52
0x55b1 ,2022-03-29,18:45:00,18:50:00,Fog,Medium ,motorcycle ,No ,5,773,31,88
0x87e4 ,2022-03-16,20:40:00,20:45:00,Sunny,Jam ,motorcycle ,No ,5,792,72,82
0x82c3 ,2022-03-14,22:10:00,22:25:00,Windy,Low ,scooter ,No ,15,905,50,30
0x5397 ,2022-03-31,17:20:00,17:25:00,Windy,Medium ,motorcycle ,No ,5,574,61,69
0x876b ,2022-03-17,19:55:00,20:10:00,Fog,Jam ,motorcycle ,No ,15,669,35,70
0x3a5a ,2022-03-28,18:15:00,18:25:00,Stormy,Medium ,scooter ,No ,10,988,19,42
0x51e4 ,2022-04-04,23:50:00,00:00:00,Fog,Low ,motorcycle ,No ,10,37,58,10
0x5631 ,2022-03-04,17:25:00,17:35:00,Fog,Medium ,motorcycle ,No ,10,38,26,24
0x1dac ,2022-03-04,23:45:00,00:00:00,Stormy,Low ,electric_scooter ,No ,15,919,84,22
0xde01 ,2022-02-14,18:30:00,18:35:00,Windy,Medium ,motorcycle ,No ,5,400,137,71
0x8771 ,2022-03-25,21:35:00,21:45:00,Windy,Jam ,motorcycle ,No ,10,131,139,26
0x3645 ,2022-03-17,08:40:00,08:55:00,Windy,Low ,scooter ,No ,15,41,38,69
0x1ff1 ,2022-04-01,22:35:00,22:40:00,Windy,Low ,scooter ,No ,5,90,31,2
0x4a3c ,2022-03-19,11:45:00,11:50:00,Windy,High ,motorcycle ,No ,5,305,86,67
0x6e0d ,2022-03-07,23:25:00,23:40:00,Stormy,Low ,scooter ,No ,15,60,53,68
0x6cc6 ,2022-03-02,19:10:00,19:15:00,Sunny,Jam ,scooter ,No ,5,861,101,76
0xc141 ,2022-02-16,18:45:00,19:00:00,Fog,Medium ,motorcycle ,No ,15,546,34,29
0x690f ,2022-03-29,18:15:00,18:25:00,Cloudy,Medium ,motorcycle ,No ,10,227,28,90
0xb4ba ,2022-03-07,22:30:00,22:35:00,Sandstorms,Low ,scooter ,No ,5,931,97,88
0x63a9 ,2022-03-03,19:00:00,19:05:00,Fog,Medium ,scooter ,No ,5,58,91,15
0x88dd ,2022-03-30,13:10:00,13:20:00,Windy,High ,motorcycle ,No ,10,413,13,52
0x87a8 ,2022-03-19,17:55:00,18:05:00,Windy,Medium ,motorcycle ,No ,10,235,164,59
0x3f8d ,2022-03-15,19:50:00,20:05:00,Cloudy,Jam ,motorcycle ,No ,15,187,60,48
0x290c ,2022-03-02,21:15:00,21:20:00,Fog,Jam ,motorcycle ,No ,5,188,84,26
0x7ece ,2022-03-31,19:35:00,19:45:00,Fog,Jam ,motorcycle ,Yes ,10,255,63,78
0x1365 ,2022-03-06,19:10:00,19:20:00,Stormy,Jam ,motorcycle ,No ,10,926,176,57
0x33a4 ,2022-03-21,21:20:00,21:30:00,Fog,Jam ,motorcycle ,No ,10,628,36,22
0x8f3c ,2022-03-01,09:50:00,10:05:00,Sandstorms,Low ,motorcycle ,No ,15,522,126,90
0x2fe1 ,2022-03-24,20:35:00,20:40:00,Stormy,Jam ,scooter ,No ,5,453,73,30
0x4b5b ,2022-04-04,21:15:00,21:25:00,Sandstorms,Jam ,motorcycle ,Yes ,10,484,28,53
0x7405 ,2022-03-02,23:00:00,23:15:00,Windy,Low ,motorcycle ,No ,15,757,136,15
0x6245 ,2022-04-01,15:00:00,15:10:00,Cloudy,High ,motorcycle ,No ,10,972,7,77
0xd02b ,2022-02-12,19:45:00,19:50:00,Fog,Jam ,motorcycle ,No ,5,971,175,92
0x1f0e ,2022-04-05,17:45:00,17:55:00,Sunny,Medium ,motorcycle ,No ,10,13,179,12
0x7085 ,2022-03-03,09:00:00,09:10:00,Sunny,Low ,motorcycle ,No ,10,774,44,96
0x57fa ,2022-04-06,20:00:00,20:05:00,Sunny,Jam ,electric_scooter ,No ,5,819,177,100
0x57fc ,2022-03-17,12:50:00,12:55:00,Fog,High ,motorcycle ,No ,5,759,113,81
0x7a1f ,2022-03-31,21:40:00,21:55:00,Fog,Jam ,motorcycle ,Yes ,15,629,179,90
0xceac ,2022-02-17,19:55:00,20:05:00,Sunny,Jam ,motorcycle ,No ,10,899,186,29
0xa0a5 ,2022-03-09,19:35:00,19:40:00,Sandstorms,Jam ,motorcycle ,No ,5,523,35,66
0x6118 ,2022-03-25,17:10:00,17:25:00,Stormy,Medium ,motorcycle ,No ,15,900,94,21
0x46fd ,2022-03-11,19:35:00,19:40:00,Cloudy,Jam ,motorcycle ,No ,5,823,170,1
0x5134 ,2022-03-03,10:30:00,10:45:00,Sandstorms,Low ,motorcycle ,No ,15,439,124,29
0xd418 ,2022-02-15,18:10:00,18:20:00,Windy,Medium ,scooter ,No ,10,700,88,81
0x256c ,2022-03-07,10:10:00,10:25:00,Stormy,Low ,motorcycle ,No ,15,648,135,4
0x6055 ,2022-03-18,17:50:00,18:05:00,Fog,Medium ,motorcycle ,No ,15,53,22,3
0x7bfb ,2022-04-03,08:50:00,09:00:00,Fog,Low ,motorcycle ,No ,10,964,56,70
0x7220 ,2022-04-06,19:55:00,20:10:00,Stormy,Jam ,electric_scooter ,No ,15,593,174,62
0x1568 ,2022-03-06,17:55:00,18:10:00,Fog,Medium ,motorcycle ,No ,15,429,87,87
0x41ea ,2022-03-19,15:30:00,15:40:00,Fog,Medium ,scooter ,No ,10,82,18,56
0x1c60 ,2022-03-21,09:40:00,09:50:00,Windy,Low ,electric_scooter ,No ,10,42,47,34
0x77ee ,2022-03-28,15:35:00,15:50:00,Windy,Medium ,scooter ,No ,15,367,46,67
0x2192 ,2022-03-29,18:15:00,18:30:00,Sandstorms,Medium ,motorcycle ,No ,15,165,168,70
0x48c7 ,2022-03-17,16:55:00,17:00:00,Fog,Medium ,motorcycle ,No ,5,84,59,15
0x78bf ,2022-03-29,18:10:00,18:15:00,Sunny,Medium ,motorcycle ,No ,5,723,17,66
0x7a5a ,2022-03-21,19:15:00,19:20:00,Fog,Jam ,motorcycle ,No ,5,502,60,90
0x4321 ,2022-03-04,18:25:00,18:35:00,Windy,Medium ,electric_scooter ,No ,10,192,79,52
0xe00d ,2022-02-15,20:30:00,20:45:00,Stormy,Jam ,scooter ,No ,15,994,13,71
0x1e86 ,2022-03-29,22:55:00,23:00:00,Stormy,Low ,scooter ,No ,5,886,110,60
0xcff0 ,2022-02-13,10:55:00,11:00:00,Stormy,Low ,motorcycle ,No ,5,509,65,91
0x1e2d ,2022-04-03,16:00:00,16:15:00,Windy,Medium ,motorcycle ,No ,15,980,9,93
0xd072 ,2022-02-13,14:50:00,15:05:00,Sunny,High ,motorcycle ,No ,15,993,78,63
0x9a57 ,2022-03-16,20:20:00,20:25:00,Fog,Jam ,motorcycle ,No ,5,738,29,3
0x427b ,2022-04-02,19:00:00,19:15:00,Cloudy,Medium ,motorcycle ,No ,15,8,145,43
0x52e2 ,2022-03-20,18:15:00,18:20:00,Sandstorms,Medium ,motorcycle ,No ,5,307,125,3
0x9395 ,2022-03-29,23:35:00,23:50:00,Fog,Low ,motorcycle ,No ,15,60,90,2
0xb5d2 ,2022-03-04,19:35:00,19:40:00,Cloudy,Jam ,motorcycle ,No ,5,147,90,71
0x6c4d ,2022-03-27,23:35:00,23:45:00,Sunny,Low ,scooter ,No ,10,508,25,55
0xd1c8 ,2022-02-11,18:00:00,18:15:00,Stormy,Medium ,scooter ,No ,15,259,123,6
0x98ca ,2022-03-09,18:10:00,18:25:00,Fog,Medium ,electric_scooter ,No ,15,531,58,5
0x644b ,2022-03-12,21:10:00,21:15:00,Windy,Jam ,motorcycle ,No ,5,165,116,91
0x7a2d ,2022-04-04,23:40:00,23:50:00,Windy,Low ,motorcycle ,No ,10,503,113,57
0xe13f ,2022-02-11,11:00:00,11:10:00,Fog,Low ,motorcycle ,No ,10,774,174,11
0xc278 ,2022-02-18,22:45:00,23:00:00,Sandstorms,Low ,motorcycle ,No ,15,886,15,82
0x5912 ,2022-03-19,11:00:00,11:15:00,Sunny,Low ,scooter ,No ,15,956,13,8
0xab33 ,2022-03-02,23:25:00,23:40:00,Fog,Low ,scooter ,No ,15,965,158,75
0xdd96 ,2022-02-14,21:00:00,21:10:00,Sunny,Jam ,scooter ,No ,10,111,9,51
0x7646 ,2022-03-27,19:30:00,19:40:00,Cloudy,Jam ,motorcycle ,No ,10,929,120,9
0x5ef5 ,2022-03-04,22:55:00,23:05:00,Windy,Low ,motorcycle ,No ,10,596,15,70
0x7ef7 ,2022-04-06,20:25:00,20:40:00,Sunny,Jam ,motorcycle ,No ,15,568,156,18
0x1136 ,2022-03-26,12:35:00,12:50:00,Stormy,High ,motorcycle ,No ,15,641,154,32
0xd032 ,2022-02-11,18:55:00,19:00:00,Sunny,Medium ,motorcycle ,No ,5,361,99,2
0x199d ,2022-03-28,22:45:00,22:50:00,Sandstorms,Low ,motorcycle ,No ,5,699,108,88
0x871c ,2022-03-18,23:45:00,23:55:00,Windy,Low ,motorcycle ,No ,10,999,114,51
0xcf18 ,2022-02-11,15:25:00,15:30:00,Cloudy,Medium ,motorcycle ,No ,5,632,47,69
0x1dad ,2022-03-28,11:30:00,11:40:00,Sunny,High ,motorcycle ,No ,10,212,149,33
0xc918 ,2022-02-16,22:35:00,22:45:00,Windy,Low ,motorcycle ,No ,10,386,13,91
0x33c1 ,2022-03-16,23:35:00,23:45:00,Sandstorms,Low ,motorcycle ,No ,10,503,76,19
0x27fe ,2022-03-28,10:25:00,10:30:00,Stormy,Low ,motorcycle ,No ,5,199,143,70
0x1536 ,2022-03-03,22:20:00,22:30:00,Stormy,Low ,motorcycle ,No ,10,244,105,34
0xa152 ,2022-03-13,17:15:00,17:20:00,Windy,Medium ,scooter ,No ,5,547,55,37
0x9c9a ,2022-03-14,21:30:00,21:45:00,Windy,Jam ,motorcycle ,No ,15,147,188,17
0x3052 ,2022-03-01,18:40:00,18:50:00,Sandstorms,Medium ,motorcycle ,No ,10,577,169,22
0x1045 ,2022-03-21,15:10:00,15:20:00,Fog,Medium ,motorcycle ,No ,10,789,134,40
0x2391 ,2022-03-10,22:50:00,23:05:00,Stormy,Low ,scooter ,No ,15,18,175,26
0x7ddd ,2022-03-20,19:30:00,19:40:00,Windy,Jam ,motorcycle ,No ,10,765,107,81
0x279f ,2022-04-06,20:30:00,20:35:00,Stormy,Jam ,motorcycle ,No ,5,438,99,70
0xe76 ,2022-03-15,18:35:00,18:40:00,Cloudy,Medium ,scooter ,No ,5,142,111,57
0xaefa ,2022-04-03,18:45:00,18:50:00,Sunny,Medium ,motorcycle ,No ,5,203,116,97
0xdad6 ,2022-02-12,23:10:00,23:20:00,Fog,Low ,scooter ,No ,10,467,52,86
0xc237 ,2022-02-11,11:10:00,11:25:00,Cloudy,High ,scooter ,No ,15,75,58,52
0x4efc ,2022-04-05,13:50:00,13:55:00,Sunny,High ,motorcycle ,No ,5,615,71,62
0x6e33 ,2022-04-05,18:40:00,18:45:00,Stormy,Medium ,scooter ,No ,5,638,15,57
0xd92f ,2022-02-18,21:15:00,21:30:00,Cloudy,Jam ,motorcycle ,No ,15,332,158,28
0xd902 ,2022-02-12,21:45:00,21:55:00,Sandstorms,Jam ,motorcycle ,No ,10,589,34,62
0xd91a ,2022-02-14,21:20:00,21:35:00,Sunny,Jam ,motorcycle ,No ,15,409,172,19
0x4f0c ,2022-03-02,22:45:00,22:55:00,Fog,Low ,scooter ,No ,10,913,136,85
0x8456 ,2022-04-04,20:10:00,20:20:00,Stormy,Jam ,scooter ,No ,10,863,175,3
0x3329 ,2022-03-09,18:20:00,18:35:00,Fog,Medium ,motorcycle ,No ,15,28,27,76
0x1aa8 ,2022-03-12,20:40:00,20:45:00,Windy,Jam ,motorcycle ,No ,5,527,139,40
0x144d ,2022-04-01,10:00:00,10:05:00,Stormy,Low ,motorcycle ,No ,5,83,90,50
